Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.0134189	0	0	0	0	0	0	0	0	0	0	3
2	4	0	0.0268378	0	0	0	0	0	0	0	0	0	0	3
3	4	0	0.0402567	0	0	0	0	0	0	0	0	0	0	3
4	5	0	0.0536756	0	0	0	0	0	0	0	0	0	0	3
5	5	0	0.0670945	0	0	0	0	0	0	0	0	0	0	3
6	5	0	0.0805134	0	0	0	0	0	0	0	0	0	0	3
7	5	0	0.0939323	0	0	0	0	0	0	0	0	0	0	3
8	6	0	0.1073512	0	0	0	0	0	0	0	0	0	0	3
9	6	0	0.1207701	0	0	0	0	0	0	0	0	0	0	3
10	6	0	0.134189	0	0	0	0	0	0	0	0	0	0	3
11	6	0	0.1476079	0	0	0	0	0	0	0	0	0	0	3
12	7	0	0.1610268	0	0	0	0	0	0	0	0	0	0	3
13	7	0	0.1744457	0	0	0	0	0	0	0	0	0	0	3
14	7	0	0.1878646	0	0	0	0	0	0	0	0	0	0	3
15	7	0	0.2012835	0	0	0	0	0	0	0	0	0	0	3
16	8	0	0.2147024	0	0	0	0	0	0	0	0	0	0	3
17	8	0	0.2281213	0	0	0	0	0	0	0	0	0	0	3
18	8	0	0.2415402	0	0	0	0	0	0	0	0	0	0	3
19	8	0	0.2549591	0	0	0	0	0	0	0	0	0	0	3
20	9	0	0.268378	0	0	0	0	0	0	0	0	0	0	3
21	9	0	0.2817969	0	0	0	0	0	0	0	0	0	0	3
22	9	0	0.2952158	0	0	0	0	0	0	0	0	0	0	3
23	9	0	0.3086347	0	0	0	0	0	0	0	0	0	0	3
24	10	0	0.3220536	0	0	0	0	0	0	0	0	0	0	3
25	10	0	0.3354725	0	0	0	0	0	0	0	0	0	0	3
26	10	0	0.3488914	0	0	0	0	0	0	0	0	0	0	3
27	11	0	0.3623103	0	0	0	0	0	0	0	0	0	0	3
28	11	0	0.3757292	0	0	0	0	0	0	0	0	0	0	3
29	11	0	0.3891481	0	0	0	0	0	0	0	0	0	0	3
30	11	0	0.402567	0	0	0	0	0	0	0	0	0	0	3
31	12	0	0.4159859	0	0	0	0	0	0	0	0	0	0	3
32	12	0	0.4294048	0	0	0	0	0	0	0	0	0	0	3
33	12	0	0.4428237	0	0	0	0	0	0	0	0	0	0	3
34	12	0	0.4562426	0	0	0	0	0	0	0	0	0	0	3
35	13	0	0.4696615	0	0	0	0	0	0	0	0	0	0	3
36	13	0	0.4830804	0	0	0	0	0	0	0	0	0	0	3
37	13	0	0.4964993	0	0	0	0	0	0	0	0	0	0	3
38	13	0	0.5099182	0	0	0	0	0	0	0	0	0	0	3
39	14	0	0.5233371	0	0	0	0	0	0	0	0	0	0	3
40	14	0	0.536756	0	0	0	0	0	0	0	0	0	0	3
41	14	0	0.5501749	0	0	0	0	0	0	0	0	0	0	3
42	14	0	0.5635938	0	0	0	0	0	0	0	0	0	0	3
43	15	0	0.5770127	0	0	0	0	0	0	0	0	0	0	3
44	15	0	0.5904316	0	0	0	0	0	0	0	0	0	0	3
45	15	0	0.6038505	0	0	0	0	0	0	0	0	0	0	3
46	15	0	0.6172694	0	0	0	0	0	0	0	0	0	0	3
47	16	0	0.6306883	0	0	0	0	0	0	0	0	0	0	3
48	16	0	0.6441072	0	0	0	0	0	0	0	0	0	0	3
49	16	0	0.6575261	0	0	0	0	0	0	0	0	0	0	3
50	16	0	0.670945	0	0	0	0	0	0	0	0	0	0	3
51	17	0	0.6843639	0	0	0	0	0	0	0	0	0	0	3
52	17	0	0.6977828	0	0	0	0	0	0	0	0	0	0	3
53	17	0	0.7112017	0	0	0	0	0	0	0	0	0	0	3
54	17	0	0.7246206	0	0	0	0	0	0	0	0	0	0	3
55	18	0	0.7380395	0	0	0	0	0	0	0	0	0	0	3
56	18	0	0.7514584	0	0	0	0	0	0	0	0	0	0	3
57	18	0	0.7648773	0	0	0	0	0	0	0	0	0	0	3
58	18	0	0.7782962	0	0	0	0	0	0	0	0	0	0	3
59	19	0	0.7917151	0	0	0	0	0	0	0	0	0	0	3
60	19	0	0.805134	0	0	0	0	0	0	0	0	0	0	3
61	19	0	0.8185529	0	0	0	0	0	0	0	0	0	0	3
62	19	0	0.8319718	0	0	0	0	0	0	0	0	0	0	3
63	20	0	0.8453907	0	0	0	0	0	0	0	0	0	0	3
64	20	0	0.8588096	0	0	0	0	0	0	0	0	0	0	3
65	20	0	0.8722285	0	0	0	0	0	0	0	0	0	0	3
66	20	0	0.8856474	0	0	0	0	0	0	0	0	0	0	3
67	21	0	0.8990663	0	0	0	0	0	0	0	0	0	0	3
68	21	0	0.9124852	0	0	0	0	0	0	0	0	0	0	3
69	21	0	0.9259041	0	0	0	0	0	0	0	0	0	0	3
70	21	0	0.939323	0	0	0	0	0	0	0	0	0	0	3
71	22	0	0.9527419	0	0	0	0	0	0	0	0	0	0	3
72	22	0	0.9661608	0	0	0	0	0	0	0	0	0	0	3
73	22	0	0.9795797	0	0	0	0	0	0	0	0	0	0	3
74	22	0	0.9929986	0	0	0	0	0	0	0	0	0	0	3
75	23	0	1.0064175	0	0	0	0	0	5e-06	0	100	0	0	3
76	23	0	1.0198364	0	0	0	0	0	5e-06	0	100	0	0	3
77	23	0	1.0332553	0	0	0	0	0	5e-06	0	100	0	0	3
78	23	0	1.0466742	0	0	0	0	0	5e-06	0	100	0	0	3
79	24	0	1.0600931	0	0	0	0	0	5e-06	0	100	0	0	3
80	24	0	1.073512	0	0	0	0	0	5e-06	0	100	0	0	3
81	24	0	1.0869309	0	0	0	0	0	5e-06	0	100	0	0	3
82	25	0	1.1003498	0	0	0	0	0	5e-06	0	100	0	0	3
83	25	0	1.1137687	0	0	0	0	0	5e-06	0	100	0	0	3
84	25	0	1.1271876	0	0	0	0	0	5e-06	0	100	0	0	3
85	25	0	1.1406065	0	0	0	0	0	5e-06	0	100	0	0	3
