Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.0134189	1.85732618e-05	1.85732618e-05	1.85732618e-05	1.85732618e-05	0	0	0	0	0	0	3
2	4	0	0.0268378	3.48119085e-08	9.30403686e-06	3.48119085e-08	1.85732618e-05	9.26922495e-06	0	0	0	0	0	3
3	4	0	0.0402567	-6.59919198e-08	6.18069394e-06	-6.59919198e-08	1.85732618e-05	1.23925679e-05	0	0	0	0	0	3
4	5	0	0.0536756	5.04927294e-08	4.64814363e-06	-6.59919198e-08	1.85732618e-05	1.39251182e-05	0	0	0	0	0	3
5	5	0	0.0670945	-8.04388224e-08	3.70242714e-06	-8.04388224e-08	1.85732618e-05	1.48708347e-05	0	0	0	0	0	3
6	5	0	0.0805134	1.3596626e-07	3.108017e-06	-8.04388224e-08	1.85732618e-05	1.54652448e-05	0	0	0	0	0	3
7	5	0	0.0939323	-2.69541597e-07	2.62550863e-06	-2.69541597e-07	1.85732618e-05	1.59477532e-05	0	0	0	0	0	3
8	6	0	0.1073512	3.82870465e-07	2.34517886e-06	-2.69541597e-07	1.85732618e-05	1.6228083e-05	0	0	0	0	0	3
9	6	0	0.1207701	-2.4001662e-07	2.05793491e-06	-2.69541597e-07	1.85732618e-05	1.65153269e-05	0	0	0	0	0	3
10	6	0	0.134189	2.09842323e-07	1.87312565e-06	-2.69541597e-07	1.85732618e-05	1.67001362e-05	0	0	0	0	0	3
11	6	0	0.1476079	-9.02492475e-08	1.69463703e-06	-2.69541597e-07	1.85732618e-05	1.68786248e-05	0	0	0	0	0	3
12	7	0	0.1610268	6.39068199e-08	1.55874284e-06	-2.69541597e-07	1.85732618e-05	1.7014519e-05	0	0	0	0	0	3
13	7	0	0.1744457	7.00088707e-08	1.44422485e-06	-2.69541597e-07	1.85732618e-05	1.7129037e-05	0	0	0	0	0	3
14	7	0	0.1878646	8.1770218e-08	1.34690666e-06	-2.69541597e-07	1.85732618e-05	1.72263552e-05	0	0	0	0	0	3
15	7	0	0.2012835	4.52743014e-08	1.26013117e-06	-2.69541597e-07	1.85732618e-05	1.73131306e-05	0	0	0	0	0	3
16	8	0	0.2147024	3.11686436e-08	1.18332101e-06	-2.69541597e-07	1.85732618e-05	1.73899408e-05	0	0	0	0	0	3
17	8	0	0.2281213	-2.03537481e-08	1.11251661e-06	-2.69541597e-07	1.85732618e-05	1.74607452e-05	0	0	0	0	0	3
18	8	0	0.2415402	8.65367455e-09	1.05119089e-06	-2.69541597e-07	1.85732618e-05	1.75220709e-05	0	0	0	0	0	3
19	8	0	0.2549591	-1.80285101e-08	9.94916188e-07	-2.69541597e-07	1.85732618e-05	1.75783456e-05	0	0	0	0	0	3
20	9	0	0.268378	-2.37911489e-08	9.43980821e-07	-2.69541597e-07	1.85732618e-05	1.7629281e-05	0	0	0	0	0	3
21	9	0	0.2817969	-2.94100718e-08	8.97628874e-07	-2.69541597e-07	1.85732618e-05	1.76756329e-05	0	0	0	0	0	3
22	9	0	0.2952158	-3.90200147e-08	8.55053924e-07	-2.69541597e-07	1.85732618e-05	1.77182079e-05	0	0	0	0	0	3
23	9	0	0.3086347	-1.32519463e-08	8.17301495e-07	-2.69541597e-07	1.85732618e-05	1.77559603e-05	0	0	0	0	0	3
24	10	0	0.3220536	-4.15228011e-08	7.81517149e-07	-2.69541597e-07	1.85732618e-05	1.77917447e-05	0	0	0	0	0	3
25	10	0	0.3354725	-4.38777398e-08	7.48501354e-07	-2.69541597e-07	1.85732618e-05	1.78247605e-05	0	0	0	0	0	3
26	10	0	0.3488914	-2.90426506e-08	7.18595815e-07	-2.69541597e-07	1.85732618e-05	1.7854666e-05	0	0	0	0	0	3
27	11	0	0.3623103	-1.02506765e-07	6.88184608e-07	-2.69541597e-07	1.85732618e-05	1.78850772e-05	0	0	0	0	0	3
28	11	0	0.3757292	-3.32491986e-08	6.62419115e-07	-2.69541597e-07	1.85732618e-05	1.79108427e-05	0	0	0	0	0	3
29	11	0	0.3891481	-4.65579334e-08	6.37971631e-07	-2.69541597e-07	1.85732618e-05	1.79352902e-05	0	0	0	0	0	3
30	11	0	0.402567	-3.13029894e-08	6.15662477e-07	-2.69541597e-07	1.85732618e-05	1.79575993e-05	0	0	0	0	0	3
31	12	0	0.4159859	-1.95037254e-08	5.95173245e-07	-2.69541597e-07	1.85732618e-05	1.79780886e-05	0	0	0	0	0	3
32	12	0	0.4294048	-3.84959414e-08	5.75371082e-07	-2.69541597e-07	1.85732618e-05	1.79978907e-05	0	0	0	0	0	3
33	12	0	0.4428237	2.54725985e-09	5.58012785e-07	-2.69541597e-07	1.85732618e-05	1.8015249e-05	0	0	0	0	0	3
34	12	0	0.4562426	2.20682081e-08	5.42249709e-07	-2.69541597e-07	1.85732618e-05	1.80310121e-05	0	0	0	0	0	3
35	13	0	0.4696615	5.35831461e-08	5.28287807e-07	-2.69541597e-07	1.85732618e-05	1.8044974e-05	0	0	0	0	0	3
36	13	0	0.4830804	1.705009e-07	5.18349282e-07	-2.69541597e-07	1.85732618e-05	1.80549125e-05	0	0	0	0	0	3
