Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.0134189	180018.599	180018.599	180018.599	180018.599	0	0	0	0	0	0	3
2	4	0	0.0268378	111707.84	145863.219	111707.84	180018.599	34155.3795	0	0	0	0	0	3
3	4	0	0.0402567	113157.923	134961.454	111707.84	180018.599	45057.1449	0	0	0	0	0	3
4	5	0	0.0536756	109466.74	128587.775	109466.74	180018.599	51430.8234	0	0	0	0	0	3
5	5	0	0.0670945	110916.122	125053.445	109466.74	180018.599	54965.154	0	0	0	0	0	3
6	5	0	0.0805134	109550.343	122469.594	109466.74	180018.599	57549.0043	0	0	0	0	0	3
7	5	0	0.0939323	109643.481	120637.293	109466.74	180018.599	59381.3063	0	0	0	0	0	3
8	6	0	0.1073512	109038.103	119187.394	109038.103	180018.599	60831.205	0	0	0	0	0	3
9	6	0	0.1207701	109121.054	118068.912	109038.103	180018.599	61949.6872	0	0	0	0	0	3
10	6	0	0.134189	109007.267	117162.747	109007.267	180018.599	62855.8516	0	0	0	0	0	3
11	6	0	0.1476079	109262.784	116444.569	109007.267	180018.599	63574.0301	0	0	0	0	0	3
12	7	0	0.1610268	109443.763	115861.168	109007.267	180018.599	64157.4306	0	0	0	0	0	3
13	7	0	0.1744457	109638.287	115382.485	109007.267	180018.599	64636.1137	0	0	0	0	0	3
14	7	0	0.1878646	109676.811	114974.937	109007.267	180018.599	65043.6619	0	0	0	0	0	3
15	7	0	0.2012835	109751.567	114626.712	109007.267	180018.599	65391.8866	0	0	0	0	0	3
16	8	0	0.2147024	109639.844	114315.033	109007.267	180018.599	65703.5658	0	0	0	0	0	3
17	8	0	0.2281213	109627.784	114039.312	109007.267	180018.599	65979.2863	0	0	0	0	0	3
18	8	0	0.2415402	109565.672	113790.777	109007.267	180018.599	66227.8219	0	0	0	0	0	3
19	8	0	0.2549591	109506.131	113565.269	109007.267	180018.599	66453.3296	0	0	0	0	0	3
20	9	0	0.268378	109463.409	113360.176	109007.267	180018.599	66658.4226	0	0	0	0	0	3
21	9	0	0.2817969	109296.406	113166.663	109007.267	180018.599	66851.9354	0	0	0	0	0	3
22	9	0	0.2952158	109240.725	112988.212	109007.267	180018.599	67030.3872	0	0	0	0	0	3
23	9	0	0.3086347	109172.483	112822.31	109007.267	180018.599	67196.2884	0	0	0	0	0	3
24	10	0	0.3220536	109089.085	112666.759	109007.267	180018.599	67351.8395	0	0	0	0	0	3
25	10	0	0.3354725	108992.649	112519.795	108992.649	180018.599	67498.8039	0	0	0	0	0	3
26	10	0	0.3488914	108800.278	112376.737	108800.278	180018.599	67641.8622	0	0	0	0	0	3
27	11	0	0.3623103	108656.158	112238.937	108656.158	180018.599	67779.6614	0	0	0	0	0	3
28	11	0	0.3757292	108521.035	112106.155	108521.035	180018.599	67912.4437	0	0	0	0	0	3
29	11	0	0.3891481	108431.098	111979.429	108431.098	180018.599	68039.1698	0	0	0	0	0	3
30	11	0	0.402567	108347.809	111858.375	108347.809	180018.599	68160.2238	0	0	0	0	0	3
31	12	0	0.4159859	108235.645	111741.513	108235.645	180018.599	68277.086	0	0	0	0	0	3
32	12	0	0.4294048	108205.137	111631.001	108205.137	180018.599	68387.5978	0	0	0	0	0	3
33	12	0	0.4428237	108224.506	111527.774	108205.137	180018.599	68490.8249	0	0	0	0	0	3
34	12	0	0.4562426	108265.744	111431.832	108205.137	180018.599	68586.767	0	0	0	0	0	3
35	13	0	0.4696615	108299.876	111342.347	108205.137	180018.599	68676.2514	0	0	0	0	0	3
36	13	0	0.4830804	108255.599	111256.604	108205.137	180018.599	68761.9945	0	0	0	0	0	3
37	13	0	0.4964993	108204.341	111174.111	108204.341	180018.599	68844.4881	0	0	0	0	0	3
38	13	0	0.5099182	108126.634	111093.914	108126.634	180018.599	68924.6848	0	0	0	0	0	3
39	14	0	0.5233371	108010.312	109198.959	108010.312	113157.923	5147.61079	0	0	0	0	0	3
40	14	0	0.536756	107903.955	109098.857	107903.955	113157.923	5253.96803	0	0	0	0	0	3
41	14	0	0.5501749	107794.754	108957.721	107794.754	110916.122	3121.36884	0	0	0	0	0	3
42	14	0	0.5635938	107752.403	108912.607	107752.403	110916.122	3163.71981	0	0	0	0	0	3
43	15	0	0.5770127	107748.969	108829.26	107748.969	109751.567	2002.59766	0	0	0	0	0	3
44	15	0	0.5904316	107754.575	108782.003	107748.969	109751.567	2002.59766	0	0	0	0	0	3
45	15	0	0.6038505	107760.601	108732.454	107748.969	109751.567	2002.59766	0	0	0	0	0	3
46	15	0	0.6172694	107759.708	108698.812	107748.969	109751.567	2002.59766	0	0	0	0	0	3
47	16	0	0.6306883	107747.269	108662.66	107747.269	109751.567	2004.2978	0	0	0	0	0	3
48	16	0	0.6441072	107729.649	108629.038	107729.649	109751.567	2021.91716	0	0	0	0	0	3
49	16	0	0.6575261	107710.037	108588.176	107710.037	109751.567	2041.52933	0	0	0	0	0	3
50	16	0	0.670945	107698.647	108542.252	107698.647	109751.567	2052.91959	0	0	0	0	0	3
51	17	0	0.6843639	107683.017	108490.798	107683.017	109751.567	2068.55006	0	0	0	0	0	3
52	17	0	0.6977828	107675.931	108438.143	107675.931	109751.567	2075.63578	0	0	0	0	0	3
53	17	0	0.7112017	107664.327	108383.216	107664.327	109639.844	1975.51756	0	0	0	0	0	3
54	17	0	0.7246206	107652.994	108330.93	107652.994	109627.784	1974.79033	0	0	0	0	0	3
55	18	0	0.7380395	107644.137	108278.729	107644.137	109565.672	1921.53582	0	0	0	0	0	3
