Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.0134189	293.274186	293.274186	293.274186	293.274186	0	0	0	0	0	0	3
2	4	0	0.0268378	293.351111	293.312649	293.274186	293.351111	0.038462531	0	0	0	0	0	3
3	4	0	0.0402567	293.431299	293.352199	293.274186	293.431299	0.0780125073	0	0	0	0	0	3
4	5	0	0.0536756	293.514527	293.392781	293.274186	293.514527	0.118594677	0	0	0	0	0	3
5	5	0	0.0670945	293.601899	293.434605	293.274186	293.601899	0.160418299	0	0	0	0	0	3
6	5	0	0.0805134	293.749705	293.487121	293.274186	293.749705	0.212935104	0	0	0	0	0	3
7	5	0	0.0939323	293.91792	293.548664	293.274186	293.91792	0.274477748	0	0	0	0	0	3
8	6	0	0.1073512	294.095026	293.616959	293.274186	294.095026	0.342772996	0	0	0	0	0	3
9	6	0	0.1207701	294.27569	293.690152	293.274186	294.27569	0.41596525	0	0	0	0	0	3
10	6	0	0.134189	294.458944	293.767031	293.274186	294.458944	0.492844507	0	0	0	0	0	3
11	6	0	0.1476079	294.736462	293.855161	293.274186	294.736462	0.580974606	0	0	0	0	0	3
12	7	0	0.1610268	295.016754	293.95196	293.274186	295.016754	0.677774014	0	0	0	0	0	3
13	7	0	0.1744457	295.298877	294.055569	293.274186	295.298877	0.781382993	0	0	0	0	0	3
14	7	0	0.1878646	295.582501	294.164636	293.274186	295.582501	0.89044953	0	0	0	0	0	3
15	7	0	0.2012835	295.867064	294.278131	293.274186	295.867064	1.00394474	0	0	0	0	0	3
16	8	0	0.2147024	296.292952	294.404057	293.274186	296.292952	1.12987106	0	0	0	0	0	3
17	8	0	0.2281213	296.718327	294.540191	293.274186	296.718327	1.26600455	0	0	0	0	0	3
18	8	0	0.2415402	297.141984	294.684735	293.274186	297.141984	1.41054863	0	0	0	0	0	3
19	8	0	0.2549591	297.562689	294.836206	293.274186	297.562689	1.56201989	0	0	0	0	0	3
20	9	0	0.268378	297.979375	294.993365	293.274186	297.979375	1.71917834	0	0	0	0	0	3
21	9	0	0.2817969	298.587689	295.164523	293.274186	298.587689	1.89033663	0	0	0	0	0	3
22	9	0	0.2952158	299.177865	295.346948	293.274186	299.177865	2.07276126	0	0	0	0	0	3
23	9	0	0.3086347	299.748095	295.538302	293.274186	299.748095	2.26411552	0	0	0	0	0	3
24	10	0	0.3220536	300.297465	295.7366	293.274186	300.297465	2.46241401	0	0	0	0	0	3
25	10	0	0.3354725	300.825485	295.940156	293.274186	300.825485	2.66596941	0	0	0	0	0	3
26	10	0	0.3488914	301.57214	296.15677	293.274186	301.57214	2.8825842	0	0	0	0	0	3
27	11	0	0.3623103	302.275543	296.383392	293.274186	302.275543	3.10920539	0	0	0	0	0	3
28	11	0	0.3757292	302.93944	296.617536	293.274186	302.93944	3.34334997	0	0	0	0	0	3
29	11	0	0.3891481	303.568717	296.857232	293.274186	303.568717	3.58304586	0	0	0	0	0	3
30	11	0	0.402567	304.168131	297.100929	293.274186	304.168131	3.8267425	0	0	0	0	0	3
31	12	0	0.4159859	305.015977	297.356253	293.274186	305.015977	4.08206664	0	0	0	0	0	3
32	12	0	0.4294048	305.826303	297.620942	293.274186	305.826303	4.3467557	0	0	0	0	0	3
33	12	0	0.4428237	306.609358	297.893318	293.274186	306.609358	4.61913193	0	0	0	0	0	3
34	12	0	0.4562426	307.376826	298.172245	293.274186	307.376826	4.89805863	0	0	0	0	0	3
35	13	0	0.4696615	308.135744	298.456916	293.274186	308.135744	5.18273003	0	0	0	0	0	3
36	13	0	0.4830804	309.262095	298.75706	293.274186	309.262095	5.48287387	0	0	0	0	0	3
37	13	0	0.4964993	310.383793	299.071296	293.274186	310.383793	5.79710989	0	0	0	0	0	3
38	13	0	0.5099182	311.497037	299.398289	293.274186	311.497037	6.12410307	0	0	0	0	0	3
39	14	0	0.5233371	312.591763	299.906647	293.351111	312.591763	6.59399782	0	0	0	0	0	3
40	14	0	0.536756	313.653005	300.440907	293.431299	313.653005	7.0887082	0	0	0	0	0	3
41	14	0	0.5501749	315.088331	301.010829	293.514527	315.088331	7.61804794	0	0	0	0	0	3
42	14	0	0.5635938	316.380344	301.612561	293.601899	316.380344	8.17795633	0	0	0	0	0	3
43	15	0	0.5770127	317.510723	302.24174	293.749705	317.510723	8.7546191	0	0	0	0	0	3
44	15	0	0.5904316	318.475839	302.892428	293.91792	318.475839	9.3437642	0	0	0	0	0	3
45	15	0	0.6038505	319.28317	303.559935	294.095026	319.28317	9.94297554	0	0	0	0	0	3
46	15	0	0.6172694	319.963498	304.240684	294.27569	319.963498	10.5505325	0	0	0	0	0	3
47	16	0	0.6306883	320.54515	304.931986	294.458944	320.54515	11.1649549	0	0	0	0	0	3
48	16	0	0.6441072	321.056458	305.63192	294.736462	321.056458	11.7767593	0	0	0	0	0	3
49	16	0	0.6575261	321.514983	306.336618	295.016754	321.514983	12.3846579	0	0	0	0	0	3
50	16	0	0.670945	321.936385	307.045029	295.298877	321.936385	12.9894602	0	0	0	0	0	3
51	17	0	0.6843639	322.327316	307.756304	295.582501	322.327316	13.5916684	0	0	0	0	0	3
52	17	0	0.6977828	322.691765	308.469706	295.867064	322.691765	14.1915749	0	0	0	0	0	3
