Iteration	CPUTime	PhysTime	Travels
1	4	0	0.0134189
2	4	0	0.0268378
3	4	0	0.0402567
4	5	0	0.0536756
5	5	0	0.0670945
6	5	0	0.0805134
7	5	0	0.0939323
8	6	0	0.1073512
9	6	0	0.1207701
10	6	0	0.134189
11	6	0	0.1476079
12	7	0	0.1610268
13	7	0	0.1744457
14	7	0	0.1878646
15	7	0	0.2012835
16	8	0	0.2147024
17	8	0	0.2281213
18	8	0	0.2415402
19	8	0	0.2549591
20	9	0	0.268378
21	9	0	0.2817969
22	9	0	0.2952158
23	9	0	0.3086347
24	10	0	0.3220536
25	10	0	0.3354725
26	10	0	0.3488914
27	11	0	0.3623103
28	11	0	0.3757292
29	11	0	0.3891481
30	11	0	0.402567
31	12	0	0.4159859
32	12	0	0.4294048
33	12	0	0.4428237
34	12	0	0.4562426
35	13	0	0.4696615
36	13	0	0.4830804
37	13	0	0.4964993
38	13	0	0.5099182
39	14	0	0.5233371
40	14	0	0.536756
41	14	0	0.5501749
42	14	0	0.5635938
43	15	0	0.5770127
44	15	0	0.5904316
45	15	0	0.6038505
46	15	0	0.6172694
47	16	0	0.6306883
48	16	0	0.6441072
49	16	0	0.6575261
50	16	0	0.670945
51	17	0	0.6843639
52	17	0	0.6977828
53	17	0	0.7112017
54	17	0	0.7246206
55	18	0	0.7380395
56	18	0	0.7514584
57	18	0	0.7648773
58	18	0	0.7782962
59	19	0	0.7917151
60	19	0	0.805134
61	19	0	0.8185529
62	19	0	0.8319718
63	20	0	0.8453907
64	20	0	0.8588096
65	20	0	0.8722285
66	20	0	0.8856474
67	21	0	0.8990663
68	21	0	0.9124852
69	21	0	0.9259041
70	21	0	0.939323
71	22	0	0.9527419
72	22	0	0.9661608
73	22	0	0.9795797
74	22	0	0.9929986
75	23	0	1.0064175
76	23	0	1.0198364
77	23	0	1.0332553
78	23	0	1.0466742
79	24	0	1.0600931
80	24	0	1.073512
81	24	0	1.0869309
82	25	0	1.1003498
83	25	0	1.1137687
84	25	0	1.1271876
85	25	0	1.1406065
86	26	0	1.1540254
87	26	0	1.1674443
88	26	0	1.1808632
89	27	0	1.1942821
90	27	0	1.207701
91	27	0	1.2211199
92	27	0	1.2345388
93	28	0	1.2479577
94	28	0	1.2613766
95	28	0	1.2747955
96	28	0	1.2882144
97	29	0	1.3016333
98	29	0	1.3150522
99	29	0	1.3284711
100	29	0	1.34189
101	30	0	1.3553089
